usage_date,mac_id,resource_category,total_cost_inr,resource_count
2026-01-01,MAC-01,Compute,2255.54,2
2026-01-01,MAC-01,Networking,479.08,2
2026-01-01,MAC-01,Data Services,853.36,2
2026-01-01,MAC-01,Storage,561.88,2
2026-01-01,MAC-02,Compute,1596.98,2
2026-01-01,MAC-02,Data Services,1680.81,2
2026-01-01,MAC-02,Networking,344.42,2
2026-01-01,MAC-02,Storage,1250.14,2
2026-01-01,MAC-03,Networking,234.7,2
2026-01-01,MAC-03,Data Services,511.3,2
2026-01-01,MAC-03,Compute,1003.61,2
2026-01-01,MAC-03,Storage,341.61,2
2026-01-01,MAC-04,Compute,1439.77,2
2026-01-01,MAC-04,Data Services,773.23,2
2026-01-01,MAC-04,Networking,320.04,2
2026-01-01,MAC-04,Storage,590.17,2
2026-01-01,MAC-05,Compute,1011.64,2
2026-01-01,MAC-05,Data Services,695.73,2
2026-01-01,MAC-05,Networking,456.6,2
2026-01-01,MAC-05,Storage,519.82,2
2026-01-01,MAC-06,Networking,664.62,2
2026-01-01,MAC-06,Storage,833.86,2
2026-01-01,MAC-06,Compute,2680.68,2
2026-01-01,MAC-06,Data Services,726.02,2
2026-01-01,MAC-07,Data Services,1389.74,2
2026-01-01,MAC-07,Compute,2393.65,2
2026-01-01,MAC-07,Storage,958.87,2
2026-01-01,MAC-07,Networking,391.9,2
2026-01-01,MAC-08,Storage,525.36,2
2026-01-01,MAC-08,Compute,801.75,2
2026-01-01,MAC-08,Data Services,835.74,2
2026-01-01,MAC-08,Networking,228.53,2
2026-01-02,MAC-01,Storage,513.53,2
2026-01-02,MAC-01,Networking,448.4,2
2026-01-02,MAC-01,Compute,2244.17,2
2026-01-02,MAC-01,Data Services,792.35,2
2026-01-02,MAC-02,Data Services,1743.95,2
2026-01-02,MAC-02,Networking,360.55,2
2026-01-02,MAC-02,Compute,1540.59,2
2026-01-02,MAC-02,Storage,1170.01,2
2026-01-02,MAC-03,Storage,369.75,2
2026-01-02,MAC-03,Networking,226.13,2
2026-01-02,MAC-03,Data Services,516.04,2
2026-01-02,MAC-03,Compute,968.24,2
2026-01-02,MAC-04,Storage,510.8,2
2026-01-02,MAC-04,Networking,294.45,2
2026-01-02,MAC-04,Data Services,779.34,2
