usage_date,mac_id,team,resource_category,total_cost_inr,resource_count
2026-01-01,MAC-01,DevOps,Storage,294.27,1
2026-01-01,MAC-01,DevOps,Networking,224.37,1
2026-01-01,MAC-01,DevOps,Data Services,434.57,1
2026-01-01,MAC-01,DevOps,Compute,1244.3,1
2026-01-01,MAC-01,Platform,Networking,254.71,1
2026-01-01,MAC-01,Platform,Data Services,418.79,1
2026-01-01,MAC-01,Platform,Compute,1011.24,1
2026-01-01,MAC-01,Platform,Storage,267.61,1
2026-01-01,MAC-02,Analytics,Data Services,846.17,1
2026-01-01,MAC-02,Analytics,Compute,787.29,1
2026-01-01,MAC-02,Analytics,Networking,174.67,1
2026-01-01,MAC-02,Analytics,Storage,615.02,1
2026-01-01,MAC-02,DataEngineering,Storage,635.12,1
2026-01-01,MAC-02,DataEngineering,Compute,809.69,1
2026-01-01,MAC-02,DataEngineering,Data Services,834.64,1
2026-01-01,MAC-02,DataEngineering,Networking,169.75,1
2026-01-01,MAC-03,Frontend,Storage,148.31,1
2026-01-01,MAC-03,Frontend,Networking,107.92,1
2026-01-01,MAC-03,Frontend,Data Services,183.8,1
2026-01-01,MAC-03,Frontend,Compute,460.49,1
2026-01-01,MAC-03,Product,Storage,193.3,1
2026-01-01,MAC-03,Product,Compute,543.12,1
2026-01-01,MAC-03,Product,Data Services,327.5,1
2026-01-01,MAC-03,Product,Networking,126.78,1
2026-01-01,MAC-04,Backend,Data Services,536.77,1
2026-01-01,MAC-04,Backend,Storage,386.72,1
2026-01-01,MAC-04,Backend,Compute,1000.86,1
2026-01-01,MAC-04,Backend,Networking,232.4,1
2026-01-01,MAC-04,QA,Storage,203.45,1
2026-01-01,MAC-04,QA,Compute,438.91,1
2026-01-01,MAC-04,QA,Data Services,236.46,1
2026-01-01,MAC-04,QA,Networking,87.64,1
2026-01-01,MAC-05,Compliance,Networking,141.82,1
2026-01-01,MAC-05,Compliance,Compute,379.13,1
2026-01-01,MAC-05,Compliance,Data Services,319.51,1
2026-01-01,MAC-05,Compliance,Storage,252.27,1
2026-01-01,MAC-05,Security,Storage,267.55,1
