detection_date,mac_id,team,category,daily_cost,rolling_mean,pct_deviation,direction
2026-03-02,MAC-07,ML,Compute,7633.31,1956.29,290.2,spike
2026-02-10,MAC-04,Backend,Compute,1177.06,968.17,21.6,spike
2026-03-18,MAC-07,ML,Data Services,924.53,764.36,21.0,spike
2026-02-13,MAC-07,Research,Compute,993.47,822.88,20.7,spike
2026-02-04,MAC-01,Platform,Networking,306.74,254.35,20.6,spike
2026-01-24,MAC-03,Frontend,Compute,600.9,500.88,20.0,spike
2026-01-30,MAC-07,Research,Storage,547.07,455.73,20.0,spike
2026-02-22,MAC-02,Analytics,Compute,1077.26,899.21,19.8,spike
2026-03-05,MAC-08,Finance,Networking,128.64,107.35,19.8,spike
2026-02-02,MAC-03,Product,Compute,732.97,612.26,19.7,spike
2026-03-21,MAC-03,Product,Storage,265.9,222.22,19.7,spike
2026-01-15,MAC-06,CloudOps,Compute,1472.09,1229.47,19.7,spike
2026-02-16,MAC-07,ML,Networking,250.58,209.4,19.7,spike
2026-02-14,MAC-03,Product,Data Services,371.24,310.68,19.5,spike
2026-02-28,MAC-04,QA,Networking,115.28,96.59,19.4,spike
2026-02-25,MAC-03,Frontend,Storage,191.01,160.05,19.3,spike
2026-02-16,MAC-08,Operations,Storage,372.05,311.8,19.3,spike
2026-03-06,MAC-01,DevOps,Data Services,516.5,433.22,19.2,spike
2026-02-02,MAC-02,DataEngineering,Storage,732.09,614.37,19.2,spike
2026-03-26,MAC-03,Product,Storage,266.01,223.19,19.2,spike
2026-02-18,MAC-07,ML,Data Services,867.28,727.47,19.2,spike
2026-02-08,MAC-07,Research,Compute,967.69,811.87,19.2,spike
2026-02-18,MAC-02,Analytics,Compute,1061.72,891.15,19.1,spike
2026-02-04,MAC-04,QA,Networking,110.24,92.53,19.1,spike
2026-03-31,MAC-03,Frontend,Data Services,269.36,226.28,19.0,spike
2026-02-17,MAC-03,Product,Data Services,369.81,310.7,19.0,spike
2026-01-25,MAC-06,Infrastructure,Compute,1680.71,1412.13,19.0,spike
2026-03-17,MAC-08,Operations,Data Services,502.12,422.08,19.0,spike
2026-03-09,MAC-07,ML,Networking,260.66,219.25,18.9,spike
2026-03-01,MAC-08,Finance,Storage,256.7,215.87,18.9,spike
2026-01-12,MAC-02,DataEngineering,Compute,1018.93,858.25,18.7,spike
2026-02-26,MAC-02,DataEngineering,Storage,760.02,640.16,18.7,spike
2026-03-28,MAC-03,Product,Networking,160.29,134.99,18.7,spike
2026-03-02,MAC-04,QA,Networking,115.86,97.63,18.7,spike
2026-03-14,MAC-03,Frontend,Data Services,260.31,219.56,18.6,spike
2026-01-15,MAC-04,QA,Compute,471.89,397.84,18.6,spike
2026-03-18,MAC-05,Compliance,Compute,462.56,390.2,18.5,spike
2026-02-26,MAC-07,ML,Data Services,875.87,738.97,18.5,spike
2026-01-23,MAC-08,Finance,Compute,359.07,302.9,18.5,spike
2026-01-30,MAC-02,DataEngineering,Compute,1075.46,908.35,18.4,spike
2026-03-20,MAC-03,Frontend,Networking,132.88,112.25,18.4,spike
2026-03-04,MAC-04,Backend,Networking,283.2,239.12,18.4,spike
2026-03-20,MAC-05,Compliance,Networking,194.28,164.03,18.4,spike
2026-02-20,MAC-08,Operations,Compute,567.63,479.35,18.4,spike
2026-02-06,MAC-01,Platform,Networking,304.8,257.64,18.3,spike
2026-02-24,MAC-07,Research,Data Services,809.02,684.01,18.3,spike
2026-02-26,MAC-08,Finance,Networking,124.83,105.55,18.3,spike
2026-02-21,MAC-02,Analytics,Data Services,1040.67,880.16,18.2,spike
2026-03-04,MAC-08,Finance,Networking,126.37,106.9,18.2,spike
2026-02-01,MAC-08,Operations,Networking,158.58,134.21,18.2,spike
2026-01-29,MAC-06,Infrastructure,Storage,480.38,406.7,18.1,spike
2026-02-27,MAC-05,Compliance,Data Services,380.77,322.62,18.0,spike
2026-02-03,MAC-02,DataEngineering,Compute,1098.42,931.46,17.9,spike
2026-02-27,MAC-04,QA,Networking,113.55,96.32,17.9,spike
2026-03-13,MAC-06,Infrastructure,Storage,521.22,442.52,17.8,spike
2026-02-22,MAC-02,Analytics,Data Services,1045.77,888.87,17.7,spike
2026-02-25,MAC-02,Analytics,Data Services,1063.54,903.68,17.7,spike
2026-03-10,MAC-03,Product,Storage,259.25,220.21,17.7,spike
2026-03-16,MAC-04,Backend,Storage,456.81,387.95,17.7,spike
2026-03-12,MAC-06,Infrastructure,Storage,519.02,441.11,17.7,spike
