usage_date,mac_id,team,resource_category,total_cost_inr,attribution_confidence,resource_count
2026-01-01 00:00:00,MAC-01,DevOps,Networking,224.37,high,1
2026-01-01 00:00:00,MAC-01,DevOps,Data Services,434.57,high,1
2026-01-01 00:00:00,MAC-01,DevOps,Compute,1244.3,high,1
2026-01-01 00:00:00,MAC-01,Platform,Storage,267.61,high,1
2026-01-01 00:00:00,MAC-01,Platform,Networking,254.71,high,1
2026-01-01 00:00:00,MAC-01,Platform,Data Services,418.79,high,1
2026-01-01 00:00:00,MAC-01,DevOps,Storage,294.27,high,1
2026-01-01 00:00:00,MAC-01,Platform,Compute,1011.24,high,1
2026-01-01 00:00:00,MAC-02,DataEngineering,Compute,809.69,high,1
2026-01-01 00:00:00,MAC-02,DataEngineering,Storage,635.12,high,1
2026-01-01 00:00:00,MAC-02,Analytics,Networking,174.67,high,1
2026-01-01 00:00:00,MAC-02,Analytics,Compute,787.29,high,1
2026-01-01 00:00:00,MAC-02,Analytics,Data Services,846.17,high,1
2026-01-01 00:00:00,MAC-02,DataEngineering,Data Services,834.64,high,1
2026-01-01 00:00:00,MAC-02,Analytics,Storage,615.02,high,1
2026-01-01 00:00:00,MAC-02,DataEngineering,Networking,169.75,high,1
2026-01-01 00:00:00,MAC-03,Frontend,Data Services,183.8,high,1
2026-01-01 00:00:00,MAC-03,Frontend,Networking,107.92,high,1
2026-01-01 00:00:00,MAC-03,Product,Data Services,327.5,high,1
2026-01-01 00:00:00,MAC-03,Product,Compute,543.12,high,1
2026-01-01 00:00:00,MAC-03,Product,Storage,193.3,high,1
2026-01-01 00:00:00,MAC-03,Frontend,Compute,460.49,high,1
2026-01-01 00:00:00,MAC-03,Product,Networking,126.78,high,1
2026-01-01 00:00:00,MAC-03,Frontend,Storage,148.31,high,1
2026-01-01 00:00:00,MAC-04,QA,Data Services,236.46,high,1
2026-01-01 00:00:00,MAC-04,Backend,Networking,232.4,high,1
2026-01-01 00:00:00,MAC-04,Backend,Data Services,536.77,high,1
2026-01-01 00:00:00,MAC-04,Backend,Compute,1000.86,high,1
2026-01-01 00:00:00,MAC-04,QA,Compute,438.91,high,1
2026-01-01 00:00:00,MAC-04,QA,Networking,87.64,high,1
2026-01-01 00:00:00,MAC-04,Backend,Storage,386.72,high,1
2026-01-01 00:00:00,MAC-04,QA,Storage,203.45,high,1
2026-01-01 00:00:00,MAC-05,Security,Storage,267.55,high,1
2026-01-01 00:00:00,MAC-05,Compliance,Networking,141.82,high,1
2026-01-01 00:00:00,MAC-05,Compliance,Data Services,319.51,high,1
2026-01-01 00:00:00,MAC-05,Security,Data Services,376.22,high,1
2026-01-01 00:00:00,MAC-05,Compliance,Storage,252.27,high,1
2026-01-01 00:00:00,MAC-05,Compliance,Compute,379.13,high,1
2026-01-01 00:00:00,MAC-05,Security,Compute,632.51,high,1
2026-01-01 00:00:00,MAC-05,Security,Networking,314.78,high,1
2026-01-01 00:00:00,MAC-06,Infrastructure,Compute,1229.36,high,1
2026-01-01 00:00:00,MAC-06,Infrastructure,Networking,347.36,high,1
2026-01-01 00:00:00,MAC-06,CloudOps,Data Services,341.15,high,1
2026-01-01 00:00:00,MAC-06,CloudOps,Storage,430.42,high,1
2026-01-01 00:00:00,MAC-06,Infrastructure,Data Services,384.87,high,1
2026-01-01 00:00:00,MAC-06,CloudOps,Compute,1451.32,high,1
2026-01-01 00:00:00,MAC-06,Infrastructure,Storage,403.44,high,1
2026-01-01 00:00:00,MAC-06,CloudOps,Networking,317.26,high,1
2026-01-01 00:00:00,MAC-07,Research,Networking,163.7,high,1
2026-01-01 00:00:00,MAC-07,Research,Storage,393.38,high,1
2026-01-01 00:00:00,MAC-07,Research,Data Services,585.65,high,1
2026-01-01 00:00:00,MAC-07,ML,Compute,1477.32,high,1
2026-01-01 00:00:00,MAC-07,ML,Storage,565.49,high,1
2026-01-01 00:00:00,MAC-07,Research,Compute,916.33,high,1
2026-01-01 00:00:00,MAC-07,ML,Networking,228.2,high,1
2026-01-01 00:00:00,MAC-07,ML,Data Services,804.09,high,1
2026-01-01 00:00:00,MAC-08,Finance,Data Services,459.42,high,1
2026-01-01 00:00:00,MAC-08,Operations,Networking,116.04,high,1
2026-01-01 00:00:00,MAC-08,Finance,Networking,112.49,high,1
2026-01-01 00:00:00,MAC-08,Operations,Compute,487.92,high,1
2026-01-01 00:00:00,MAC-08,Finance,Storage,196.03,high,1
2026-01-01 00:00:00,MAC-08,Operations,Storage,329.33,high,1
2026-01-01 00:00:00,MAC-08,Finance,Compute,313.83,high,1
2026-01-01 00:00:00,MAC-08,Operations,Data Services,376.32,high,1
2026-01-02 00:00:00,MAC-01,DevOps,Networking,202.02,high,1
2026-01-02 00:00:00,MAC-01,Platform,Networking,246.38,high,1
2026-01-02 00:00:00,MAC-01,DevOps,Data Services,386.86,high,1
2026-01-02 00:00:00,MAC-01,Platform,Compute,987.74,high,1
2026-01-02 00:00:00,MAC-01,Platform,Storage,255.02,high,1
2026-01-02 00:00:00,MAC-01,Platform,Data Services,405.49,high,1
2026-01-02 00:00:00,MAC-01,DevOps,Compute,1256.43,high,1
2026-01-02 00:00:00,MAC-01,DevOps,Storage,258.51,high,1
2026-01-02 00:00:00,MAC-02,Analytics,Storage,524.59,high,1
2026-01-02 00:00:00,MAC-02,DataEngineering,Compute,771.23,high,1
2026-01-02 00:00:00,MAC-02,Analytics,Networking,163.81,high,1
2026-01-02 00:00:00,MAC-02,DataEngineering,Networking,196.74,high,1
2026-01-02 00:00:00,MAC-02,Analytics,Compute,769.36,high,1
2026-01-02 00:00:00,MAC-02,DataEngineering,Storage,645.42,high,1
2026-01-02 00:00:00,MAC-02,DataEngineering,Data Services,844.37,high,1
2026-01-02 00:00:00,MAC-02,Analytics,Data Services,899.58,high,1
2026-01-02 00:00:00,MAC-03,Frontend,Data Services,223.81,high,1
2026-01-02 00:00:00,MAC-03,Product,Compute,542.31,high,1
2026-01-02 00:00:00,MAC-03,Product,Networking,116.4,high,1
