month,mac_id,team,resource_category,total_cost_inr
2026-01,MAC-01,DevOps,Compute,37866.49
2026-01,MAC-01,DevOps,Networking,6533.11
2026-01,MAC-01,DevOps,Storage,9480.49
2026-01,MAC-01,DevOps,Data Services,13001.91
2026-01,MAC-01,Platform,Networking,7787.19
2026-01,MAC-01,Platform,Compute,35078.58
2026-01,MAC-01,Platform,Data Services,12537.31
2026-01,MAC-01,Platform,Storage,8866.89
2026-01,MAC-02,Analytics,Storage,17547.69
2026-01,MAC-02,Analytics,Compute,26898.78
2026-01,MAC-02,Analytics,Data Services,27230.52
2026-01,MAC-02,Analytics,Networking,5125.02
2026-01,MAC-02,DataEngineering,Storage,18876.84
2026-01,MAC-02,DataEngineering,Compute,28114.94
2026-01,MAC-02,DataEngineering,Networking,5791.6
2026-01,MAC-02,DataEngineering,Data Services,27656.84
2026-01,MAC-03,Frontend,Storage,4803.07
2026-01,MAC-03,Frontend,Data Services,6313.34
2026-01,MAC-03,Frontend,Networking,3354.82
2026-01,MAC-03,Frontend,Compute,15506.21
2026-01,MAC-03,Product,Data Services,9596.63
2026-01,MAC-03,Product,Storage,6398.1
2026-01,MAC-03,Product,Networking,3887.71
2026-01,MAC-03,Product,Compute,18773.24
2026-01,MAC-04,Backend,Storage,11374.53
2026-01,MAC-04,Backend,Compute,30112.31
2026-01,MAC-04,Backend,Networking,7094.5
2026-01,MAC-04,Backend,Data Services,15985.51
2026-01,MAC-04,QA,Storage,5717.88
2026-01,MAC-04,QA,Compute,12625.8
2026-01,MAC-04,QA,Data Services,8054.78
2026-01,MAC-04,QA,Networking,2848.98
2026-01,MAC-05,Compliance,Data Services,9631.25
2026-01,MAC-05,Compliance,Compute,11290.55
2026-01,MAC-05,Compliance,Storage,7018.68
2026-01,MAC-05,Compliance,Networking,4847.57
2026-01,MAC-05,Security,Data Services,11385.77
2026-01,MAC-05,Security,Compute,22397.95
2026-01,MAC-05,Security,Networking,9520.38
2026-01,MAC-05,Security,Storage,8097.72
2026-01,MAC-06,CloudOps,Data Services,12718.53
2026-01,MAC-06,CloudOps,Storage,12325.14
2026-01,MAC-06,CloudOps,Networking,10254.56
2026-01,MAC-06,CloudOps,Compute,40380.07
2026-01,MAC-06,Infrastructure,Storage,12682.66
2026-01,MAC-06,Infrastructure,Data Services,13405.31
2026-01,MAC-06,Infrastructure,Networking,11207.75
2026-01,MAC-06,Infrastructure,Compute,44157.71
2026-01,MAC-07,ML,Compute,50404.81
2026-01,MAC-07,ML,Storage,16219.32
2026-01,MAC-07,ML,Data Services,21938.35
2026-01,MAC-07,ML,Networking,6456.05
2026-01,MAC-07,Research,Compute,25247.2
2026-01,MAC-07,Research,Networking,5831.86
2026-01,MAC-07,Research,Storage,14207.12
2026-01,MAC-07,Research,Data Services,20906.01
2026-01,MAC-08,Finance,Compute,9327.23
2026-01,MAC-08,Finance,Networking,3203.21
2026-01,MAC-08,Finance,Storage,6342.86
2026-01,MAC-08,Finance,Data Services,14258.57
2026-01,MAC-08,Operations,Networking,4094.94
2026-01,MAC-08,Operations,Data Services,12079.66
2026-01,MAC-08,Operations,Storage,9509.98
2026-01,MAC-08,Operations,Compute,14611.86
2026-02,MAC-01,DevOps,Data Services,12231.45
2026-02,MAC-01,DevOps,Compute,36701.71
2026-02,MAC-01,DevOps,Storage,8926.93
2026-02,MAC-01,DevOps,Networking,6175.79
2026-02,MAC-01,Platform,Storage,8631.72
2026-02,MAC-01,Platform,Data Services,11504.3
2026-02,MAC-01,Platform,Networking,7656.84
2026-02,MAC-01,Platform,Compute,33586.84
2026-02,MAC-02,Analytics,Compute,25678.63
2026-02,MAC-02,Analytics,Data Services,25637.65
2026-02,MAC-02,Analytics,Storage,16567.21
2026-02,MAC-02,Analytics,Networking,4791.1
2026-02,MAC-02,DataEngineering,Networking,5506.93
2026-02,MAC-02,DataEngineering,Compute,28276.62
2026-02,MAC-02,DataEngineering,Data Services,27702.57
2026-02,MAC-02,DataEngineering,Storage,18252.26
2026-02,MAC-03,Frontend,Compute,15203.71
2026-02,MAC-03,Frontend,Storage,4523.95
2026-02,MAC-03,Frontend,Networking,3028.91
2026-02,MAC-03,Frontend,Data Services,6109.38
2026-02,MAC-03,Product,Storage,5997.48
2026-02,MAC-03,Product,Networking,3692.24
2026-02,MAC-03,Product,Compute,18225.44
2026-02,MAC-03,Product,Data Services,9102.42
2026-02,MAC-04,Backend,Networking,6659.14
2026-02,MAC-04,Backend,Data Services,15181.14
2026-02,MAC-04,Backend,Storage,10592.8
2026-02,MAC-04,Backend,Compute,29175.8
2026-02,MAC-04,QA,Networking,2718.01
2026-02,MAC-04,QA,Storage,5419.37
2026-02,MAC-04,QA,Data Services,7655.58
